account,date,engagement,tagged_with_tradwife,log_engagement
mrs.blancarte,2023-01-01 02:32:12,9,0,2.302585092994046
littlehouseonthepasture,2023-01-01 04:48:54,71,0,4.276666119016055
moe.makes.magick,2023-01-01 05:19:18,269,0,5.598421958998375
locdthugga,2023-01-01 09:18:59,13,0,2.6390573296152584
maman__sereine,2023-01-01 12:47:11,30,0,3.4339872044851463
maman__sereine,2023-01-01 12:59:39,27,0,3.332204510175204
thymeandtenderness,2023-01-01 14:04:57,112,0,4.727387818712341
landladyadaogidi,2023-01-01 14:11:57,48,1,3.8918202981106265
thecortesclan,2023-01-01 14:38:39,318,0,5.765191102784844
lifetaketwo,2023-01-01 15:17:27,244,0,5.501258210544727
mrs.blancarte,2023-01-01 15:45:14,5,0,1.791759469228055
landladyadaogidi,2023-01-01 15:53:58,36,1,3.6109179126442243
landladyadaogidi,2023-01-01 16:01:36,97,1,4.584967478670572
maman__sereine,2023-01-01 16:31:47,16,0,2.833213344056216
moe.makes.magick,2023-01-01 17:10:02,672,0,6.511745329644728
thatjoyfilledhome,2023-01-01 17:47:12,178,0,5.187385805840755
locdthugga,2023-01-01 18:45:49,11,0,2.4849066497880004
littlehouseonthepasture,2023-01-01 19:41:58,216,1,5.37989735354046
2bebetterpodcast,2023-01-01 21:03:12,262,0,5.572154032177765
stephies_kente_parlour,2023-01-01 21:18:30,6,0,1.9459101490553132
thymeandtenderness,2023-01-01 23:13:50,316,0,5.75890177387728
littlehouseonthepasture,2023-01-01 23:56:05,604,1,6.405228458030842
locdthugga,2023-01-02 00:45:30,35,0,3.58351893845611
thekinkerbelle007,2023-01-02 02:20:42,66,0,4.204692619390966
stephies_kente_parlour,2023-01-02 09:55:30,44,0,3.8066624897703196
maman__sereine,2023-01-02 14:10:09,2547,0,7.843064016692054
maman__sereine,2023-01-02 14:23:36,26,0,3.295836866004329
maman__sereine,2023-01-02 14:24:34,65,0,4.189654742026425
landladyadaogidi,2023-01-02 15:02:06,15,1,2.772588722239781
landladyadaogidi,2023-01-02 15:21:06,15,1,2.772588722239781
landladyadaogidi,2023-01-02 15:32:13,22,1,3.1354942159291497
thymeandtenderness,2023-01-02 15:37:55,110,0,4.709530201312334
lifetaketwo,2023-01-02 15:44:17,466,0,6.1463292576688975
zmeweddings,2023-01-02 16:12:27,60,0,4.110873864173311
zmeweddings,2023-01-02 16:14:41,3,0,1.3862943611198906
stephies_kente_parlour,2023-01-02 17:22:53,6,0,1.9459101490553132
littlehouseonthepasture,2023-01-02 18:35:07,1997,1,7.599901959208498
moe.makes.magick,2023-01-02 19:02:40,308,0,5.733341276897746
thymeandtenderness,2023-01-02 20:08:11,178,0,5.187385805840755
landladyadaogidi,2023-01-02 20:48:51,52,1,3.970291913552122
landladyadaogidi,2023-01-02 21:35:03,60,1,4.110873864173311
moe.makes.magick,2023-01-02 22:29:52,84,0,4.442651256490317
moe.makes.magick,2023-01-03 01:03:57,3274,0,8.094073148069352
zmeweddings,2023-01-03 01:21:50,6,0,1.9459101490553132
maman__sereine,2023-01-03 06:35:44,305,0,5.723585101952381
maman__sereine,2023-01-03 06:54:58,9740,0,9.184099060770956
maman__sereine,2023-01-03 08:10:23,35,0,3.58351893845611
fama_kente,2023-01-03 12:30:19,106,1,4.672828834461906
locdthugga,2023-01-03 14:16:05,18,0,2.9444389791664403
fama_kente,2023-01-03 14:28:58,38,1,3.6635616461296463
mrs.blancarte,2023-01-03 14:56:14,9,0,2.302585092994046
thecortesclan,2023-01-03 15:06:14,191,0,5.2574953720277815
maman__sereine,2023-01-03 15:21:53,88,0,4.48863636973214
landladyadaogidi,2023-01-03 17:35:46,11,1,2.4849066497880004
lifetaketwo,2023-01-03 17:37:35,374,0,5.926926025970411
landladyadaogidi,2023-01-03 17:49:35,27,1,3.332204510175204
landladyadaogidi,2023-01-03 17:53:32,89,1,4.499809670330265
